student_id,son_deneme_neti,ustalik_ortalamasi,sinyal_yogunlugu,sonraki_deneme_neti
735,11.75,0.507,0.4,10.75
736,9.0,0.4021,0.46,9.25
737,3.5,0.3346,0.51,11.0
738,16.75,0.4934,0.43,9.5
739,11.75,0.4074,1.0,13.0
740,11.75,0.4675,0.71,12.5
741,3.75,0.3027,0.8,8.0
742,4.5,0.2924,0.78,7.75
743,9.5,0.4464,0.68,8.5
744,9.5,0.4492,0.42,12.75
745,9.75,0.4537,0.5,17.0
746,9.0,0.4235,0.96,6.0
747,13.0,0.348,0.5,8.5
748,10.75,0.4791,0.59,13.75
749,12.0,0.5224,0.96,15.0
750,14.5,0.5634,0.61,11.25
751,4.5,0.2679,0.61,7.5
752,12.0,0.419,0.51,5.5
753,15.0,0.4431,0.8,11.5
754,14.75,0.4884,0.77,9.0
755,9.5,0.5273,0.8,16.25
756,10.75,0.3903,0.42,9.25
757,7.25,0.3111,0.9,6.25
758,9.75,0.4562,0.79,14.5
759,6.0,0.3319,0.78,11.5
760,7.5,0.4715,0.78,13.75
761,8.25,0.3582,0.57,9.5
762,4.5,0.3019,0.48,6.0
763,13.5,0.4827,0.54,11.0
764,9.0,0.2978,0.54,2.25
765,17.75,0.6426,0.54,14.25
766,7.5,0.3165,0.61,5.75
767,9.25,0.4339,0.96,9.75
768,14.25,0.5814,0.76,12.75
769,12.25,0.4451,0.4,13.75
770,10.0,0.3896,0.85,7.75
771,6.25,0.4562,0.93,17.5
772,11.25,0.3921,0.5,11.0
773,11.25,0.418,0.54,4.75
774,12.75,0.4585,0.59,8.5
775,15.5,0.5945,0.92,9.75
776,10.75,0.4333,0.99,8.5
777,12.5,0.5675,0.63,15.5
778,15.5,0.5579,0.88,12.5
779,12.25,0.547,0.45,19.0
780,10.5,0.54,0.55,11.75
781,12.0,0.4145,0.77,3.25
782,9.5,0.4881,0.99,12.5
783,11.25,0.5054,0.46,12.0
784,13.25,0.4656,0.53,17.0
785,5.0,0.2596,0.53,8.0
786,11.25,0.432,0.68,11.75
787,16.0,0.5317,0.73,11.0
788,7.0,0.432,0.49,10.5
789,8.75,0.4731,0.98,10.25
790,16.0,0.5907,0.44,9.0
791,2.75,0.2634,0.76,9.5
792,11.75,0.447,0.64,11.5
793,8.0,0.4669,0.55,10.75
794,10.5,0.4846,0.75,12.0
795,15.5,0.4634,0.94,11.0
796,9.75,0.4464,0.53,6.5
797,10.75,0.3354,0.87,8.5
798,5.75,0.2518,0.97,5.5
799,8.75,0.257,0.78,5.5
800,10.0,0.4631,0.69,10.25
801,8.0,0.454,0.43,9.0
802,11.25,0.42,0.61,8.5
803,7.25,0.2574,0.41,7.0
804,6.0,0.2544,0.81,4.5
805,7.0,0.4026,0.44,5.25
806,11.5,0.5299,0.57,15.25
807,9.75,0.5131,0.66,9.75
808,9.5,0.3822,0.97,4.75
809,10.0,0.5223,0.86,14.75
810,10.5,0.4877,0.41,11.0
811,14.0,0.4856,0.63,11.0
812,10.0,0.4611,0.61,12.0
813,11.5,0.5253,0.58,16.75
814,3.75,0.2722,0.61,9.5
815,10.0,0.4153,0.8,9.0
816,12.0,0.4073,0.95,6.0
817,13.75,0.582,0.7,16.75
818,11.0,0.4468,0.41,8.5
819,12.25,0.497,0.81,8.5
820,6.75,0.3941,0.88,12.25
821,8.5,0.3723,0.66,7.25
822,21.0,0.653,0.78,11.25
823,11.0,0.4454,0.62,11.25
824,2.75,0.3118,0.83,7.5
825,10.75,0.5006,0.68,12.0
826,10.0,0.2904,0.53,3.75
827,5.0,0.3091,0.47,3.0
828,8.5,0.3414,0.79,1.5
829,12.0,0.4978,0.66,11.75
830,8.25,0.505,0.74,11.5
831,10.75,0.3151,0.85,10.0
832,9.75,0.4324,0.69,9.25
833,9.5,0.3068,0.93,8.25
834,7.75,0.437,0.9,10.75
835,12.25,0.4383,0.48,6.75
836,10.75,0.4107,0.49,12.0
837,11.0,0.5365,0.59,15.75
838,9.25,0.3047,0.65,4.0
839,10.25,0.4435,0.48,10.25
840,8.5,0.3987,0.42,8.5
841,9.0,0.4611,0.52,9.0
842,6.25,0.439,0.86,7.75
843,9.75,0.431,0.5,9.25
844,11.75,0.536,0.47,13.5
845,14.75,0.5274,0.44,11.75
846,6.25,0.4182,0.94,12.0
847,12.0,0.4663,0.55,11.5
848,13.75,0.4428,0.75,10.0
849,17.0,0.574,0.96,7.5
850,9.75,0.4781,0.99,9.5
851,15.0,0.4402,0.94,12.5
852,12.0,0.3544,0.47,5.75
853,4.75,0.3013,0.87,7.5
854,8.5,0.3637,0.73,7.5
855,12.0,0.5685,0.67,13.5
856,12.5,0.5675,0.8,16.5
857,12.75,0.4014,0.9,10.0
858,9.0,0.4583,0.73,10.25
859,9.25,0.4673,0.79,13.5
860,14.0,0.4935,0.95,10.0
861,10.25,0.4554,0.64,12.25
862,12.5,0.5548,0.8,17.25
863,6.0,0.3736,0.82,10.75
864,12.0,0.5417,0.59,9.25
865,5.25,0.2833,0.86,4.5
866,7.0,0.3532,0.64,3.5
867,11.5,0.5605,0.67,15.25
868,18.25,0.5206,0.59,12.5
869,2.25,0.246,0.95,1.25
870,10.5,0.4456,0.81,8.5
871,7.0,0.3072,0.75,7.0
872,10.75,0.3694,0.61,13.75
873,8.25,0.4495,0.98,11.25
874,17.5,0.6343,0.68,18.25
875,7.75,0.5243,0.57,13.5
876,8.25,0.3779,0.79,9.25
877,10.5,0.4972,0.41,14.25
878,12.75,0.375,0.7,6.75
879,9.0,0.503,0.57,16.0
880,8.75,0.5264,0.94,13.0
881,12.0,0.4284,0.95,12.75
882,5.0,0.3474,0.57,7.5
883,8.75,0.2581,0.59,7.0
884,17.25,0.4517,0.62,9.5
885,11.25,0.4447,0.45,12.0
886,7.5,0.4311,0.96,16.0
887,13.5,0.6128,0.94,19.75
888,10.5,0.5991,0.71,19.0
889,15.25,0.5122,0.76,11.25
890,13.25,0.4529,0.73,13.25
891,9.25,0.3963,0.98,12.25
892,9.5,0.5149,0.91,16.5
893,8.0,0.5175,0.71,12.5
894,13.75,0.5456,0.76,9.75
895,5.0,0.3436,0.56,9.75
896,9.25,0.4029,0.79,12.25
897,14.75,0.5088,0.55,9.25
898,13.0,0.3993,0.93,11.75
899,6.0,0.3621,0.52,6.0
900,12.25,0.5674,0.6,15.5
901,3.75,0.3042,0.73,4.25
902,9.25,0.4091,0.4,6.0
903,9.75,0.5325,0.54,16.0
904,8.25,0.4418,0.81,13.5
905,8.25,0.2855,0.56,4.0
906,5.75,0.4076,0.92,10.25
907,4.25,0.3278,0.82,7.75
908,4.75,0.3005,0.82,4.25
909,6.5,0.3464,0.71,12.25
910,13.75,0.5023,0.83,7.25
911,11.5,0.4619,0.64,10.25
912,18.0,0.5613,0.6,10.0
913,9.5,0.4604,0.63,12.75
914,7.25,0.3218,0.45,6.5
915,9.0,0.4655,0.72,11.25
916,10.75,0.4473,0.43,12.75
917,15.75,0.5326,0.83,14.5
918,10.0,0.5889,0.75,18.0
919,14.25,0.4978,0.87,18.75
920,9.25,0.4719,0.53,12.25
921,11.75,0.4145,0.59,5.0
922,8.5,0.3949,0.91,10.5
923,8.0,0.3646,0.66,4.25
924,8.75,0.3572,0.9,6.0
925,12.0,0.456,0.45,11.0
926,7.5,0.3791,0.77,7.75
927,13.25,0.4809,0.51,9.5
928,15.5,0.6116,0.72,18.25
929,5.25,0.3384,0.47,9.75
930,12.25,0.5245,0.58,7.75
931,7.0,0.3538,0.82,4.25
932,5.5,0.3545,0.71,7.5
933,11.25,0.4466,0.87,9.75
934,8.5,0.432,0.79,11.75
935,18.5,0.684,0.84,16.75
936,15.5,0.5943,0.75,12.75
937,10.5,0.5533,0.47,12.75
938,11.0,0.4657,0.54,11.0
939,9.75,0.3226,0.85,7.5
940,11.25,0.3789,0.94,10.5
941,11.25,0.3882,0.63,9.0
942,13.5,0.4632,0.71,11.25
943,5.25,0.2757,0.93,10.75
944,8.0,0.3045,0.47,7.5
945,14.25,0.4862,0.96,5.25
946,14.5,0.4846,0.5,7.75
947,12.75,0.5261,0.9,14.5
948,9.0,0.4868,0.65,13.25
949,12.5,0.4045,0.64,9.5
950,13.0,0.4581,0.82,11.25
951,9.25,0.3517,0.44,7.0
952,12.25,0.3753,0.86,6.0
953,6.75,0.4009,0.95,11.5
954,9.75,0.3517,0.75,8.75
955,8.75,0.5776,0.41,17.75
956,9.0,0.4231,0.48,11.75
957,8.0,0.4439,0.8,9.75
958,13.0,0.4864,0.67,9.25
959,11.5,0.5514,0.61,15.0
960,4.5,0.3218,0.91,7.5
961,8.75,0.4159,0.55,7.5
962,13.0,0.4484,0.68,10.75
963,13.5,0.5031,0.47,13.0
964,12.25,0.539,0.64,11.25
965,5.5,0.4445,0.79,14.0
966,10.75,0.4004,0.66,8.5
967,12.5,0.5491,0.57,10.0
968,7.5,0.4713,0.87,15.25
969,10.25,0.4885,0.67,10.5
970,4.25,0.265,0.8,4.25
971,9.5,0.4826,0.93,11.25
972,10.75,0.4129,0.74,7.5
973,12.25,0.4362,0.91,10.0
974,12.5,0.5012,0.92,13.25
975,10.75,0.4282,0.65,9.25
976,9.25,0.3805,0.86,8.25
977,16.25,0.5297,0.95,10.25
978,14.25,0.4638,0.97,9.0
979,6.5,0.309,0.64,7.5
980,8.5,0.4663,0.47,11.75
981,17.75,0.5179,0.7,12.0
982,7.75,0.4016,0.45,9.5
983,0.75,0.3691,0.46,12.25
984,4.25,0.3729,0.63,8.75
985,4.75,0.3218,0.84,9.0
986,7.0,0.3321,0.49,7.75
987,9.25,0.2964,0.93,5.25
988,12.25,0.4653,0.88,15.25
989,11.75,0.432,0.52,6.5
990,12.0,0.4193,0.58,10.0
991,10.0,0.4123,0.57,7.5
992,11.0,0.4343,0.99,8.75
993,4.0,0.4276,0.48,9.75
994,10.5,0.467,0.44,7.0
995,8.25,0.409,0.62,13.5
996,3.75,0.3409,0.85,7.5
997,4.0,0.2921,0.48,8.75
998,12.0,0.5454,0.94,10.25
999,9.25,0.3052,0.74,7.0
